,Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementName,PennElementType,Parameter,Value,EventTime,Comments,Question..NULL.if.none..,Answer,Whether.or.not.answer.was.correct..NULL.if.N.A.,target_group,target_item,target_type,target_fem_sentence,target_choiceM,target_choiceF,target_adj,target_noun,Time.taken.to.answer.
702,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398788416,4 extra columns added for this controller,Me caí en ___ sidewalk,el helado,0,4,18,C,Me caí en la helada sidewalk,el helado,la helada,helado/helada,sidewalk,13852
708,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398797795,4 extra columns added for this controller,Él cortó ___ ripe strawberry,la,1,4,27,B,Él cortó la ripe strawberry,el,la,ripe,strawberry,4961
714,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398818097,4 extra columns added for this controller,Ella se metió en ___ bathtub,la%2C vacía,1,4,30,C,Ella se metió en la vacía bathtub,el%2C vacío,la%2C vacía,vacío/vacía,bathtub,15596
720,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398827381,4 extra columns added for this controller,Ella necesita ___ key ___,la%2C vieja,1,4,5,D,Ella necesita la key vieja,el%2C viejo,la%2C vieja,viejo/a,key,4292
726,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398837347,4 extra columns added for this controller,Ellos leen ___ letter,la,1,4,12,A,Ellos leen la letter,el,la,none,letter,5477
732,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398844581,4 extra columns added for this controller,Ella arregló ___ machine,la,1,4,8,A,Ella arregló la machine,el,la,none,machine,3228
738,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398871799,4 extra columns added for this controller,Ella odia ___ sculpture,la fea,1,4,14,C,Ella odia la fea sculpture,el feo,la fea,feo/a,sculpture,13744
744,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398878717,4 extra columns added for this controller,Quiero ver ___ good movie,la,1,4,11,B,Quiero ver la good movie,el,la,good,movie,2877
750,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398887402,4 extra columns added for this controller,Ella hizo ___ cookie ___,la%2C deliciosa,1,4,21,D,Ella hizo la cookie deliciosa,el%2C delicioso,la%2C deliciosa,delicioso/deliciosa,cookie,3295
756,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398893586,4 extra columns added for this controller,Él visitó ___ beach,la,1,4,24,A,Él visitó la beach,el,la,none,beach,2911
762,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398901868,4 extra columns added for this controller,Él tomó ___ comfortable chair,la,1,4,19,B,Él tomó la comfortable chair,el,la,comfortable,chair,5094
768,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398921004,4 extra columns added for this controller,A él le gusta ___ painting,la hermosa,1,4,6,C,A él le gusta la hermosa painting,el hermoso,la hermosa,hermoso/a,painting,16513
774,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398949676,4 extra columns added for this controller,Seguimos ___ recipe ___,la%2C complicada,1,4,25,D,Seguimos la recipe complicada,el%2C complicado,la%2C complicada,complicado/complicada,recipe,4476
780,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398959525,4 extra columns added for this controller,Yo escogí ___ apple,la fresca,1,4,26,C,Yo escogí la fresca apple,el fresco,la fresca,fresco/fresca,apple,5162
786,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398964673,4 extra columns added for this controller,Él usó ___ computadora,la,1,4,16,A,Él usó la computer,el,la,none,computer,2277
792,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398972823,4 extra columns added for this controller,Él cerró ___ yellow door,la,1,4,3,B,Él cerró la yellow door,el,la,yellow,door,2746
798,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398988992,4 extra columns added for this controller,Miguel tiene ___ white bike,la,1,4,23,B,Miguel tiene la white bike,el,la,white,bicycle,4178
804,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398996826,4 extra columns added for this controller,Ellos miraron ___ star ___,la%2C luminosa,1,4,29,D,Ellos miraron la star luminosa,el%2C luminoso,la%2C luminosa,luminoso/luminosa,star,3955
810,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399006693,4 extra columns added for this controller,Dame ___ cup,la llena,1,4,22,C,Dame la llena cup,el lleno,la llena,lleno/llena,cup,5611
816,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399018161,4 extra columns added for this controller,Tú doblaste ___ blanket,la,1,4,32,A,Tú doblaste la blanket,el,la,none,blanket,9214
822,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399024710,4 extra columns added for this controller,Ellos abrieron ___ window,la,1,4,4,A,Ellos abrieron la window,el,la,none,window,2661
828,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399034011,4 extra columns added for this controller,Subimos ___ tall mountain,la,1,4,7,B,Subimos la tall mountain,el,la,tall,mountain,4055
834,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399042962,4 extra columns added for this controller,Yo compré ___ table,la barata,1,4,2,C,Yo compré la barata table,el barato,la barata,barato/a,table,4346
840,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399051196,4 extra columns added for this controller,Tú nadaste en ___ deep pool,la,1,4,31,B,Tú nadaste en la deep pool,el,la,deep,pool,5578
846,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399060696,4 extra columns added for this controller,Tallamos ___ pumpkin ___,la%2C naranja,1,4,13,D,Tallamos la pumpkin naranja,el%2C naranjo,la%2C naranja,naranjo/a,pumpkin,4709
852,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399067662,4 extra columns added for this controller,Ella regó ___ plant,la,1,4,28,A,Ella regó la plant,el,la,none,plant,3010
858,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399077682,4 extra columns added for this controller,Pásame ___ t-shirt ___,la%2C roja,1,4,1,D,Pásame la t-shirt roja,el%2C rojo,la%2C roja,rojo/a,t-shirt,4561
864,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399089548,4 extra columns added for this controller,A ella le encanta ___ bag ___,la%2C cara,1,4,17,D,A ella le encanta la bag cara,el%2C caro,la%2C cara,caro/cara,bag,8394
870,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399096233,4 extra columns added for this controller,Yo di ___ answer,la,1,4,20,A,Yo di la answer,el,la,none,answer,2463
876,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399103532,4 extra columns added for this controller,Ella construyó ___ house,la bonita,1,4,10,C,Ella construyó la bonita house,el bonito,la bonita,bonito/bonita,house,3492
882,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399116850,4 extra columns added for this controller,Comí ___ grape ___,la%2C podrida,1,4,9,D,Comí la grape podrida,el%2C podrido,la%2C podrida,podrido/podrida,grape,8275
918,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399848168,4 extra columns added for this controller,Ella regó ___ healthy plant,la,1,1,28,B,Ella regó la healthy plant,el,la,healthy,plant,2082
924,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399857020,4 extra columns added for this controller,Él usó ___ new computer,la,1,1,16,B,Él usó la new computer,el,la,new,computer,4371
930,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399867929,4 extra columns added for this controller,Él cortó ___ strawberry,la madura,1,1,27,C,Él cortó la madura strawberry,el maduro,la madura,maduro/madura,strawberry,3014
936,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399876655,4 extra columns added for this controller,Tú nadaste en ___ pool,la profunda,1,1,31,C,Tú nadaste en la profunda pool,el profundo,la profunda,profundo/profunda,pool,4057
942,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399883804,4 extra columns added for this controller,Pásame ___ t-shirt,la,1,1,1,A,Pásame la t-shirt,el,la,none,t-shirt,3865
948,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399891585,4 extra columns added for this controller,Ella construyó ___ house ___,la%2C bonita,1,1,10,D,Ella construyó la house bonita,el%2C bonito,la%2C bonita,bonito/bonita,house,5548
954,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399901714,4 extra columns added for this controller,Miguel tiene ___ bike,la blanca,1,1,23,C,Miguel tiene la blanca bike,el blanco,la blanca,blanco/blanca,bicycle,5552
960,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399908635,4 extra columns added for this controller,Él vendió __ guitar,la usada,1,1,15,C,Él vendió la usada guitar,el usado,la usada,usado/usada,guitar,3541
966,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399915268,4 extra columns added for this controller,Ellos leen ___ long letter,la,1,1,12,B,Ellos leen la long letter,el,la,long,letter,4090
972,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399923719,4 extra columns added for this controller,Ellos miraron ___ star,la,1,1,29,A,Ellos miraron la star,el,la,none,star,3508
978,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399934019,4 extra columns added for this controller,Me caí en ___ sidewalk ___,la%2C helada,1,1,18,D,Me caí en la sidewalk helada,el%2C helado,la%2C helada,helado/helada,sidewalk,5089
984,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399938970,4 extra columns added for this controller,Él cerró ___ door,la amarilla,1,1,3,C,Él cerró la amarilla door,el amarillo,la amarilla,amarillo/a,door,3358
990,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399947053,4 extra columns added for this controller,Ella odia ___ sculpture ___,la%2C fea,1,1,14,D,Ella odia la sculpture fea,el%2C feo,la%2C fea,feo/a,sculpture,4357
996,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399955019,4 extra columns added for this controller,Subimos ___ mountain,la alta,1,1,7,C,Subimos la alta mountain,el alto,la alta,alto/a,mountain,4781
1002,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399964703,4 extra columns added for this controller,A él le gusta ___ painting ___,la%2C hermosa,1,1,6,D,A él le gusta la painting hermosa,el%2C hermoso,la%2C hermosa,hermoso/a,painting,6558
1008,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399970386,4 extra columns added for this controller,A ella le encanta ___ bag,el,0,1,17,A,A ella le encanta la bag,el,la,none,bag,3337
1014,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399977018,4 extra columns added for this controller,Quiero ver ___ movie,la buena,1,1,11,C,Quiero ver la buena movie,el buen,la buena,buen/buena,movie,1964
1020,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399982983,4 extra columns added for this controller,Yo escogí ___ apple ___,la%2C fresca,1,1,26,D,Yo escogí la apple fresca,el%2C fresco,la%2C fresca,fresco/fresca,apple,2573
1026,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399987666,4 extra columns added for this controller,Ella necesita ___ key,la,1,1,5,A,Ella necesita la key,el,la,none,key,2222
1032,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701399994516,4 extra columns added for this controller,Ella hizo ___ cookie,la,1,1,21,A,Ella hizo la cookie,el,la,none,cookie,1656
1038,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400000215,4 extra columns added for this controller,Ellos abrieron ___ small window,la,1,1,4,B,Ellos abrieron la small window,el ,la,small,window,2213
1044,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400006750,4 extra columns added for this controller,Seguimos ___ recipe,la,1,1,25,A,Seguimos la recipe,el,la,none,recipe,2006
1050,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400014073,4 extra columns added for this controller,Ella arregló ___ broken machine,la,1,1,8,B,Ella arregló la broken machine,el,la,broken,machine,4507
1056,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400021798,4 extra columns added for this controller,Yo compré ___ table ___,la%2C barata,1,1,2,D,Yo compré la table barata,el%2C barato,la%2C barata,barato/a,table,3606
1062,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400027880,4 extra columns added for this controller,Él tomó ___ chair,la cómoda,1,1,19,C,Él tomó la cómoda chair,el cómodo,la cómoda,cómodo/cómoda,chair,2889
1068,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400033067,4 extra columns added for this controller,Comí ___ grape,la,1,1,9,A,Comí la grape,el,la,none,grape,1809
1074,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400040533,4 extra columns added for this controller,Tallamos ___ pumpkin,la,1,1,13,A,Tallamos la pumpkin,el,la,none,pumpkin,2251
1080,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400047065,4 extra columns added for this controller,Ella se metió en ___ bathtub ___,la%2C vacía,1,1,30,D,Ella se metió en la bathtub vacía,el%2C vacío,la%2C vacía,vacío/vacía,bathtub,3080
1086,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400054283,4 extra columns added for this controller,Dame ___ cup ___,la%2C llena,1,1,22,D,Dame la cup llena,el%2C lleno,la%2C llena,lleno/llena,cup,3190
1092,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400062157,4 extra columns added for this controller,Yo di ___ correct answer,la,1,1,20,B,Yo di la correct answer,el,la,correct,answer,3365
1098,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400066748,4 extra columns added for this controller,Él visitó ___ famous beach,la,1,1,24,B,Él visitó la famous beach,el,la,famous,beach,1774
1104,1701400101,837eea88fb85f59ff3e8d86b8f1321bd,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701400074082,4 extra columns added for this controller,Tú doblaste ___ clean blanket,la,1,1,32,B,Tú doblaste la clean blanket,el,la,clean,blanket,1910
1140,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402226452,4 extra columns added for this controller,Él visitó ___ beach,la famosa,1,2,24,C,Él visitó la famosa beach,el famoso,la famosa,famoso/famosa,beach,2816
1146,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402237358,4 extra columns added for this controller,Él cortó ___ strawberry ___,la%2C madura,1,2,27,D,Él cortó la strawberry madura,el%2C maduro,la%2C madura,maduro/madura,strawberry,4257
1152,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402243963,4 extra columns added for this controller,Él usó ___ computer,la nueva,1,2,16,C,Él usó la nueva computer,el nuevo,la nueva,nuevo/nueva,computer,4283
1158,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402250551,4 extra columns added for this controller,Ella odia ___ sculpture,el,0,2,14,A,Ella odia la sculpture,el,la,none,sculpture,3146
1164,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402255363,4 extra columns added for this controller,Yo di ___ answer,la correcta,1,2,20,C,Yo di la correcta answer,el correcto,la correcta,correcto/correcta,answer,2364
1170,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402262613,4 extra columns added for this controller,Él tomó ___ chair ___,la%2C cómoda,1,2,19,D,Él tomó la chair cómoda,el%2C cómodo,la%2C cómoda,cómodo/cómoda,chair,3927
1176,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402278302,4 extra columns added for this controller,Él cerró ___ door ___,la%2C amarilla,1,2,3,D,Él cerró la door amarilla,el%2C amarillo,la%2C amarilla,amarillo/a,door,6490
1182,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402289333,4 extra columns added for this controller,Ellos miraron ___ luminous,la,1,2,29,B,Ellos miraron la luminous star,el,la,luminous,star,7983
1188,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402299017,4 extra columns added for this controller,Ella construyó ___ house,el,0,2,10,A,Ella construyó la house,el,la,none,house,3849
1194,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402305996,4 extra columns added for this controller,Ella se metió en ___ bathtub,el,0,2,30,A,Ella se metió en la bathtub,el,la,none,bathtub,3299
1200,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402312229,4 extra columns added for this controller,Ella regó ___ plant,la sana,1,2,28,C,Ella regó la sana plant,el sano,la sana,sano/sana,plant,3506
1206,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402323207,4 extra columns added for this controller,Comí ___ purple grape,la,1,2,9,B,Comí la purple grape,el,la,rotten,grape,3852
1212,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402331118,4 extra columns added for this controller,Tallamos ___ orange pumpkin,la,1,2,13,B,Tallamos la orange pumpkin,el,la,orange,pumpkin,4080
1218,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402338985,4 extra columns added for this controller,Seguimos ___ complicated recipe,la,1,2,25,B,Seguimos la complicated recipe,el,la,complicated,recipe,4244
1224,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402344562,4 extra columns added for this controller,Tú doblaste ___ blanket,la limpia,1,2,32,C,Tú doblaste la limpia blanket,el limpio,la limpia,limpio/limpia,blanket,2760
1230,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402351716,4 extra columns added for this controller,A ella le encanta ___ expensive bag,la,1,2,17,B,A ella le encanta la expensive bag,el,la,expensive,bag,4344
1236,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402362702,4 extra columns added for this controller,Ella arregló ___ machine,la rota,1,2,8,C,Ella arregló la rota machine,el roto,la rota,roto/a,machine,6248
1242,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402370362,4 extra columns added for this controller,Pásame ___ red t-shirt,la,1,2,1,B,Pásame la red t-shirt,el,la,red,t-shirt,3055
1248,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402379182,4 extra columns added for this controller,Ella necesita ___ old key,la,1,2,5,B,Ella necesita la old key,el,la,old,key,3454
1254,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402385684,4 extra columns added for this controller,Yo escogí ___ apple,la,1,2,26,A,Yo escogí la apple,el,la,none,apple,3567
1260,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402389666,4 extra columns added for this controller,Dame ___ cup,la,1,2,22,A,Dame la cup,el,la,none,cup,1898
1266,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402396995,4 extra columns added for this controller,A él le gusta ___ painting,el,0,2,6,A,A él le gusta la painting,el,la,none,painting,3814
1272,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402401982,4 extra columns added for this controller,Subimos ___ mountain ___,la%2C alta,1,2,7,D,Subimos la mountain alta,el%2C alto,la%2C alta,alto/a,mountain,3129
1278,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402414586,4 extra columns added for this controller,Él vendió ___ guitar ___,el%2C usada,1,2,15,D,Él vendió la guitar usada,el%2C usado,el%2C usada,usado/usada,guitar,8171
1284,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402420097,4 extra columns added for this controller,Ellos abrieron ___ window,la pequeña,1,2,4,C,Ellos abrieron la pequeña window,el pequeño,la pequeña,pequeño/a,window,2541
1290,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402426510,4 extra columns added for this controller,Ella hizo ___ delicious cookie,la,1,2,21,B,Ella hizo la delicious cookie,el,la,delicious,cookie,3390
1296,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402431399,4 extra columns added for this controller,Me caí en ___ sidewalk,el,0,2,18,A,Me caí en la sidewalk,el,la,none,sidewalk,2849
1302,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402437161,4 extra columns added for this controller,Miguel tiene ___ bike ___,la%2C blanca,1,2,23,D,Miguel tiene la bike blanca,el%2C blanco,la%2C blanca,blanco/blanca,bicycle,3805
1308,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402442318,4 extra columns added for this controller,Yo compré ___ table,el,0,2,2,A,Yo compré la table,el,la,none,table,2954
1314,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402446475,4 extra columns added for this controller,Tú nadaste en ___ pool ___,la%2C profunda,1,2,31,D,Tú nadaste en la pool profunda,el%2C profundo,la%2C profunda,profundo/profunda,pool,2262
1320,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402454086,4 extra columns added for this controller,Quiero ver ___ movie ___,la%2C buena,1,2,11,D,Quiero ver la movie buena,el%2C bueno,la%2C buena,bueno/buena,movie,2945
1326,1701402468,24a9f5a9621956e756cf33f96f7a7256,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402462825,4 extra columns added for this controller,Ellos leen ___ letter,la larga,1,2,12,C,Ellos leen la larga letter,el largo,la larga,largo/larga,letter,5772
1359,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402493263,4 extra columns added for this controller,Ellos miraron ___ luminous,el,0,2,29,B,Ellos miraron la luminous star,el,la,luminous,star,31152
1365,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402506634,4 extra columns added for this controller,A él le gusta ___ painting,el,0,2,6,A,A él le gusta la painting,el,la,none,painting,8214
1371,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402526799,4 extra columns added for this controller,Tú nadaste en ___ pool ___,la%2C profunda,1,2,31,D,Tú nadaste en la pool profunda,el%2C profundo,la%2C profunda,profundo/profunda,pool,13320
